Label,Type,Symbol,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing,VWC
711,Blue Flag,"Flag, Blue",,711,,41.990331,-72.129621,848.015,0,0,9.5
712,Blue Flag,"Flag, Blue",,712,,41.990584,-72.128407,836.155,0,0,8.4
713,Blue Flag,"Flag, Blue",,713,,41.990579,-72.128687,826.547,0,0,4
714,Blue Flag,"Flag, Blue",,714,,41.990632,-72.12896,819.015,0,0,75.3
715,Blue Flag,"Flag, Blue",,715,,41.990675,-72.12912,814.339,0,0,76.1
716,Blue Flag,"Flag, Blue",,716,,41.990688,-72.129293,809.389,0,0,34.8
717,Blue Flag,"Flag, Blue",,717,,41.990779,-72.129621,810.142,0,0,17.4
718,Blue Flag,"Flag, Blue",,718,,41.990021,-72.128426,843.456,0,0,9
719,Blue Flag,"Flag, Blue",,719,,41.990004,-72.128598,832.543,0,0,11.2
720,Blue Flag,"Flag, Blue",,720,,41.990054,-72.128847,817.151,0,0,4.7
721,Blue Flag,"Flag, Blue",,721,,41.990044,-72.129005,804.563,0,0,7.6
722,Blue Flag,"Flag, Blue",,722,,41.990117,-72.129192,798.792,0,0,9.2
723,Blue Flag,"Flag, Blue",,723,,41.990081,-72.129494,797.273,0,0,11.8
724,Blue Flag,"Flag, Blue",,724,,41.990167,-72.129696,789.579,0,0,31.4
725,Blue Flag,"Flag, Blue",,725,,41.990328,-72.1299,781.831,0,0,19.2
726,Blue Flag,"Flag, Blue",,726,,41.990373,-72.130175,772.734,0,0,49.2
727,Blue Flag,"Flag, Blue",,727,,41.990342,-72.130296,769.99,0,0,27.9
728,Blue Flag,"Flag, Blue",,728,,41.990484,-72.130701,765.365,0,0,53.2
729,Blue Flag,"Flag, Blue",,729,,41.990533,-72.130671,760.966,0,0,15.1
730,Blue Flag,"Flag, Blue",,730,,41.989641,-72.12818,822.769,0,0,3.4
731,Blue Flag,"Flag, Blue",,731,,41.989653,-72.128469,807.304,0,0,19.3
732,Blue Flag,"Flag, Blue",,732,,41.989709,-72.128752,796.807,0,0,12.1
733,Blue Flag,"Flag, Blue",,733,,41.989741,-72.128962,785.803,0,0,16
734,Blue Flag,"Flag, Blue",,734,,41.989736,-72.129141,769.671,0,0,23.7
735,Blue Flag,"Flag, Blue",,735,,41.989796,-72.129412,766.242,0,0,23.6
736,Blue Flag,"Flag, Blue",,736,,41.98985,-72.12969,760.403,0,0,8
737,Blue Flag,"Flag, Blue",,737,,41.989869,-72.129839,756.938,0,0,5.6
738,Blue Flag,"Flag, Blue",,738,,41.989837,-72.130148,744.875,0,0,8.6
739,Blue Flag,"Flag, Blue",,739,,41.989938,-72.130451,744.461,0,0,7.3
740,Blue Flag,"Flag, Blue",,740,,41.989991,-72.130632,739.953,0,0,19.8
741,Blue Flag,"Flag, Blue",,741,,41.990011,-72.130892,739.945,0,0,4.2
742,Blue Flag,"Flag, Blue",,742,,41.989197,-72.12885,801.733,0,0,2.7
743,Blue Flag,"Flag, Blue",,743,,41.989204,-72.129157,790.739,0,0,6.4
744,Blue Flag,"Flag, Blue",,744,,41.989238,-72.129269,780.695,0,0,16.7
745,Blue Flag,"Flag, Blue",,745,,41.989364,-72.129551,773.189,0,0,6.1
746,Blue Flag,"Flag, Blue",,746,,41.989352,-72.129779,767.358,0,0,19.9
747,Blue Flag,"Flag, Blue",,747,,41.989345,-72.130044,764.304,0,0,18.7
748,Blue Flag,"Flag, Blue",,748,,41.989393,-72.130251,764.889,0,0,3.9
749,Blue Flag,"Flag, Blue",,749,,41.989405,-72.13055,743.462,0,0,21.5
750,Blue Flag,"Flag, Blue",,750,,41.989406,-72.130785,726.694,0,0,56.9
751,Blue Flag,"Flag, Blue",,751,,41.989489,-72.130991,726.036,0,0,49.6
752,Blue Flag,"Flag, Blue",,752,,41.988926,-72.129149,793.385,0,0,13.5
753,Blue Flag,"Flag, Blue",,753,,41.988965,-72.129411,782.919,0,0,15.5
754,Blue Flag,"Flag, Blue",,754,,41.988977,-72.129656,772.18,0,0,2.4
755,Blue Flag,"Flag, Blue",,755,,41.989046,-72.129862,769.417,0,0,10.2
756,Blue Flag,"Flag, Blue",,756,,41.989186,-72.130172,768.674,0,0,5.9
757,Blue Flag,"Flag, Blue",,757,,41.989292,-72.130394,767.649,0,0,13.1
758,Blue Flag,"Flag, Blue",,758,,41.989313,-72.13055,747.73,0,0,14.6
759,Blue Flag,"Flag, Blue",,759,,41.989387,-72.130817,730.235,0,0,39.3
760,Blue Flag,"Flag, Blue",,760,,41.989459,-72.130996,733.119,0,0,18.3
761,Blue Flag,"Flag, Blue",,761,,41.989432,-72.131011,730.612,0,0,1.6
788,Blue Flag,"Flag, Blue",,788,,41.990376,-72.129579,782.163,0,0,10
789,Blue Flag,"Flag, Blue",,789,,41.990376,-72.129579,769.945,0,0,20.1
790,Blue Flag,"Flag, Blue",,790,,41.990376,-72.129579,761.326,0,0,9.8
791,Blue Flag,"Flag, Blue",,791,,41.990376,-72.129579,753.999,0,0,44
792,Blue Flag,"Flag, Blue",,792,,41.990376,-72.129579,752.548,0,0,47
793,Blue Flag,"Flag, Blue",,793,,41.990376,-72.129579,757.298,0,0,41.5
794,Blue Flag,"Flag, Blue",,794,,41.990376,-72.129579,757.17,0,0,20.8
795,Blue Flag,"Flag, Blue",,795,,41.990376,-72.129579,754.492,0,0,23.6
796,Blue Flag,"Flag, Blue",,796,,41.990376,-72.129579,748.04,0,0,16.4
797,Blue Flag,"Flag, Blue",,797,,41.990862,-72.130144,750.235,0,0,21.6
798,Blue Flag,"Flag, Blue",,798,,41.990829,-72.130142,744.297,0,0,15.6
799,Blue Flag,"Flag, Blue",,799,,41.990802,-72.130479,708.381,0,0,70.1
800,Blue Flag,"Flag, Blue",,800,,41.990793,-72.13048,708.348,0,0,79.8
801,Blue Flag,"Flag, Blue",,801,,41.990698,-72.130502,708.936,0,0,78.4
802,Blue Flag,"Flag, Blue",,802,,41.9898,-72.130841,709.031,0,0,48.6
803,Blue Flag,"Flag, Blue",,803,,41.989702,-72.130756,681.934,0,0,53.9
804,Blue Flag,"Flag, Blue",,804,,41.989672,-72.13066,682.168,0,0,77
