Date,Site,Plot Tag,Plot letter,Person sampling,Time of sampling,File name ,Notes
4/24/21,YM,1-2,I,MT & DW,1135,13,
4/24/21,YM,1-3,I,MT & DW,1127,12,
4/24/21,YM,1-1,I,MT & DW,1101,11,
4/24/21,YM,2-1,I,MT & DW,1143,14,
4/24/21,YM,2-2,I,MT & DW,1152,15,
4/24/21,YM,2-3,I,MT & DW,1200,16,
4/24/21,YM,1-3,WS,MT & DW,1323,25,
4/24/21,YM,1-2,WS,MT & DW,1339,27,
4/24/21,YM,1-1,WS,MT & DW,1331,26,
4/24/21,YM,1-2,WD,MT & DW,1235,19,
4/24/21,YM,1-3,WD,MT & DW,1241,20,
4/24/21,YM,1-1,WD,MT & DW,1249,21,
4/24/21,YM,2-1,WS,MT & DW,1315,24,
4/24/21,YM,2-2,WS,MT & DW,1259,22,
4/24/21,YM,2-3,WS,MT & DW,1307,23,
4/24/21,YM,2-3,WD,MT & DW,1228,18,
4/24/21,YM,2-2,WD,MT & DW,1210,17,
4/24/21,YM,2-1,WD,MT & DW,1220,17,
4/24/21,YM,1-1,U,MT & DW,936,1,
4/24/21,YM,1-2,U,MT & DW,928,0,
4/24/21,YM,1-3,U,MT & DW,945,2,
4/24/21,YM,1-4,U,MT & DW,1009,5,
4/24/21,YM,1-5,U,MT & DW,954,3,
4/24/21,YM,1-6,U,MT & DW,1001,4,
4/24/21,YM,2-1,U,MT & DW,1103,10,
4/24/21,YM,2-3,U,MT & DW,1046,8,
4/24/21,YM,2-2,U,MT & DW,1054,9,
4/24/21,YM,2-6,U,MT & DW,1038,8,
4/24/21,YM,2-4,U,MT & DW,1029,7,
4/24/21,YM,2-5,U,MT & DW,1023,6,
8/24/20,YM,2-1,U,MT & DW,1205,0,
8/24/20,YM,2-3,U,MT & DW,1213,1,
8/24/20,YM,2-2,U,MT & DW,1220,2,
8/24/20,YM,2-6,U,MT & DW,1446,12,
8/24/20,YM,2-4,U,MT & DW,1435,11,
8/24/20,YM,2-5,U,MT & DW,1414,9,
8/25/20,YM,1-1,WS,MT & DW,1100,0,
8/25/20,YM,1-2,WS,MT & DW,1109,1,
8/25/20,YM,1-3,WS,MT & DW,1258,9,
8/25/20,YM,2-1,WD,MT & DW,1625,26,
8/25/20,YM,2-2,WD,MT & DW,1619,25,
8/25/20,YM,1-2,WD,MT & DW,1404,11,
8/25/20,YM,1-3,WD,MT & DW,1535,19,
8/25/20,YM,1-1,WD,MT & DW,1541,20,
8/25/20,YM,2-2,WS,MT & DW,1548,21,
8/25/20,YM,2-1,WS,MT & DW,1555,22,
8/25/20,YM,2-3,WS,MT & DW,1603,23,
8/26/20,YM,1-3,U,MT & DW,1054,0,
8/26/20,YM,1-2,U,MT & DW,1101,1,
8/26/20,YM,1-1,U,MT & DW,1120,3,
8/26/20,YM,1-4,U,MT & DW,1329,11,
8/26/20,YM,1-5,U,MT & DW,1338,12,
8/26/20,YM,1-6,U,MT & DW,1346,13,
8/27/20,YM,2-1,I,MT & DW,1107,3,
8/27/20,YM,2-2,I,MT & DW,1048,1,
8/27/20,YM,2-3,I,MT & DW,1039,0,
8/27/20,YM,1-1,I,MT & DW,1131,6,
8/27/20,YM,1-3,I,MT & DW,1225,11,
8/27/20,YM,1-2,I,MT & DW,1203,9,
12/14/20,YM,2-1,WD,MT & DW,1220,18,
12/14/20,YM,2-2,WD,MT & DW,1214,17,
12/14/20,YM,2-3,WD,MT & DW,1207,16,
12/14/20,YM,1-2,WD,MT & DW,1129,10,
12/14/20,YM,1-3,WD,MT & DW,1135,11,
12/14/20,YM,1-1,WD,MT & DW,1141,12,
12/14/20,YM,1-1,WS,MT & DW,1123,9,
12/14/20,YM,1-2,WS,MT & DW,1116,8,
12/14/20,YM,1-3,WS,MT & DW,1108,7,
12/14/20,YM,2-2,WS,MT & DW,1155,14,
12/14/20,YM,2-1,WS,MT & DW,1148,13,
12/14/20,YM,2-3,WS,MT & DW,1201,15,
12/14/20,YM,1-2,I,MT & DW,1028,1,
12/14/20,YM,1-3,I,MT & DW,1035,2,
12/14/20,YM,1-1,I,MT & DW,1041,3,
12/14/20,YM,2-1,I,MT & DW,1048,4,
12/14/20,YM,2-2,I,MT & DW,1054,5,
12/14/20,YM,2-3,I,MT & DW,1100,6,
12/14/20,YM,1-1,U,MT & DW,1238,20,
12/14/20,YM,1-2,U,MT & DW,1244,21,
12/14/20,YM,1-3,U,MT & DW,1251,22,
12/14/20,YM,1-4,U,MT & DW,1258,23,
12/14/20,YM,1-5,U,MT & DW,1305,24,
12/14/20,YM,1-6,U,MT & DW,1311,25,
12/14/20,YM,2-1,U,MT & DW,1321,26,
12/14/20,YM,2-3,U,MT & DW,1328,27,
12/14/20,YM,2-2,U,MT & DW,1334,28,
12/14/20,YM,2-6,U,MT & DW,1341,29,
12/14/20,YM,2-4,U,MT & DW,1348,32,
12/14/20,YM,2-5,U,MT & DW,1354,33,
2/28/21,YM,1-2,I,MT & DW,1150,11,
2/28/21,YM,1-3,I,MT & DW,1143,10,
2/28/21,YM,1-1,I,MT & DW,1156,12,
2/28/21,YM,2-1,I,MT & DW,1203,13,
2/28/21,YM,2-2,I,MT & DW,1209,14,
2/28/21,YM,2-3,I,MT & DW,1216,15,
2/28/21,YM,1-3,WS,MT & DW,1241,18,
2/28/21,YM,1-2,WS,MT & DW,1226,16,
2/28/21,YM,1-1,WS,MT & DW,1234,17,
2/28/21,YM,1-2,WD,MT & DW,1300,21,
2/28/21,YM,1-3,WD,MT & DW,1254,20,
