Date,Plot,Plot letter,Soil temp,Soil moisture,VWC,
4/24/21,1-3,U,6.5,,14.5,
4/24/21,1-2,U,5.6,,17.2,
4/24/21,1-1,U,5.4,,14.9,
4/24/21,1-6,U,5.7,,20.4,
4/24/21,1-5,U,6,,16.1,
4/24/21,1-4,U,6.2,,20.4,
4/24/21,2-5,U,5.1,,20.9,
4/24/21,2-4,U,5,,27.8,
4/24/21,2-3,U,5.1,,14.6,
4/24/21,2-2,U,5.4,,27.5,
4/24/21,2-6,U,5,,31,
4/24/21,2-1,U,5.6,,25.2,
4/24/21,1-2,I,5.8,,24.4,
4/24/21,1-1,I,5.2,,25.1,
4/24/21,1-3,I,5.5,,25.1,
4/24/21,2-1,I,5.8,,21.5,
4/24/21,2-2,I,6.2,,24.5,
4/24/21,2-3,I,5.7,,24.1,
4/24/21,1-1,WS,5,,69.9,
4/24/21,1-2,WS,5.2,,59.1,
4/24/21,1-3,WS,5.3,,58.6,
4/24/21,1-2,WD,5.2,,36.8,
4/24/21,1-3,WD,5.6,,37.3,
4/24/21,1-1,WD,5.4,,30.8,
4/24/21,2-2,WS,5.8,,47.6,
4/24/21,2-3,WS,5.4,,67.4,
4/24/21,2-1,WS,5.6,,67.1,
4/24/21,2-1,WD,5,,37.7,
4/24/21,2-2,WD,5.5,,64.8,
4/24/21,2-3,WD,5.4,,27.7,
8/24/20,2-5,U,18.3,1.237,8.3,
8/24/20,2-4,U,18.2,1.322,13.8,
8/24/20,2-6,U,18.3,1.411,19.6,
8/24/20,2-1,U,18,1.215,7.1,
8/24/20,2-2,U,18.2,1.333,14.5,
8/24/20,2-3,U,19,1.231,8.1,
8/25/20,1-1,WS,18.5,2.173,59.2,
8/25/20,1-3,WS,18.5,2.016,51.7,
8/25/20,1-2,WS,18.3,2.041,52.6,
8/25/20,1-3,WD,18.7,1.369,16.8,
8/25/20,1-2,WD,18.1,1.649,35.1,
8/25/20,1-1,WD,18.1,1.524,27.3,
8/25/20,2-2,WS,19,1.805,43.5,
8/25/20,2-1,WS,18.8,2.033,52.4,
8/25/20,2-3,WS,18.8,2.143,57.6,
8/25/20,2-2,WD,19.1,1.287,11.4,
8/25/20,2-1,WD,18.7,1.296,11.9,
8/25/20,2-3,WD,18.5,1.206,6.5,
8/26/20,1-1,U,13.5,17.2,1.374,
8/26/20,1-2,U,13.2,16.5,1.363,
8/26/20,1-3,U,13.5,14.1,1.328,
8/26/20,1-4,U,13.4,11.8,1.291,
8/26/20,1-5,U,13.1,14.7,1.335,
8/26/20,1-6,U,13.3,11.8,1.289,
8/27/20,2-1,I,16.1,1.204,6.4,
8/27/20,2-2,I,15.7,1.252,9.3,
8/27/20,2-3,I,16.1,1.234,8.3,
8/27/20,1-1,I,16.5,1.431,21,
8/27/20,1-2,I,16.5,1.272,10.5,
8/27/20,1-3,I,16.3,1.381,17.7,
12/14/20,1-1,I,4.1,,32.4,
12/14/20,1-2,I,5,,22,
12/14/20,1-3,I,4.8,,23.2,
12/14/20,2-1,I,3.9,,28.5,
12/14/20,2-2,I,5.4,,20.2,
12/14/20,2-3,I,3.9,,24.5,
12/14/20,1-1,WD,4.6,,40.4,
12/14/20,1-2,WD,5.5,,40.6,
12/14/20,1-3,WD,5.3,,34.3,
12/14/20,2-1,WD,2.1,,38.3,
12/14/20,2-2,WD,2.6,,24.5,
12/14/20,2-3,WD,5.4,,28,
12/14/20,1-1,WS,3.7,,75.6,
12/14/20,1-2,WS,3.3,,62.4,
12/14/20,1-3,WS,3.9,,58.3,
12/14/20,2-1,WS,4.1,,63.2,
12/14/20,2-2,WS,4,,50.8,
12/14/20,2-3,WS,4,,63.7,
12/14/20,1-1,U,3.9,,11.4,
12/14/20,1-2,U,4.2,,24.8,
12/14/20,1-3,U,4,,25.1,
12/14/20,1-4,U,4.3,,21.3,
12/14/20,1-5,U,5,,20.4,
12/14/20,1-6,U,4.5,,14.3,
12/14/20,2-1,U,4.1,,26.9,
12/14/20,2-2,U,4,,30.2,
12/14/20,2-3,U,3.1,,24.8,
12/14/20,2-4,U,4.1,,26.5,
12/14/20,2-5,U,4,,21.8,
12/14/20,2-6,U,3.7,,26.1,
2/28/21,1-1,I,1.4,,34.4,
2/28/21,1-2,I,2.8,,30,
2/28/21,1-3,I,1.4,,25.8,
2/28/21,2-1,I,2.5,,31.5,
2/28/21,2-2,I,3.6,,28.6,
2/28/21,2-3,I,1.7,,35.5,
2/28/21,1-1,U,1.9,,19.4,
2/28/21,1-2,U,1.8,,27.3,
2/28/21,1-3,U,1.7,,27.2,
2/28/21,1-4,U,2.1,,23.6,
2/28/21,1-5,U,1.9,,18.7,
2/28/21,1-6,U,1.5,,18.7,
2/28/21,2-1,U,Can’t find,,,
2/28/21,2-2,U,2.4,,21.5,
2/28/21,2-3,U,0.8,,29,
2/28/21,2-4,U,1,,32.1,
2/28/21,2-5,U,2.5,,23.9,
2/28/21,2-6,U,Can’t find,,,
2/28/21,1-1,WD,1.4,,41.2,
2/28/21,1-2,WD,2.8,,39.1,
2/28/21,1-3,WD,2.6,,25.7,
