Date,Name,Tree Core Species Code,Tree Core ID,Pith Visible,Sapwood Depth (cm),Heartwood Depth (cm),Tree Core Notes,Outer Section Length (cm),Outer Section Mass Empty Tube (g),Outer Section Mass Tube + Core Segment (g),OUTER SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry OUTER SECTION Sample Mass (g),OUTER SECTION Ground Sample ID,Percent_Change_Outer,OUTER SECTION Processing Issues/Notes,Inner Section Length (cm),Inner Section Mass Empty Tube (g),Inner Section Mass Tube + Core Segment (g),INNER SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry INNER SECTION Sample Mass (g),INNER SECTION Ground Sample ID,Percent_Change_Inner,INNER SECTION Processing Issues/Notes,Middle Section Length (mm),Middle Section Mass Empty Tube (g),Middle Section Mass Tube + Core Segment (g),MIDDLE SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry MIDDLE SECTION Sample Mass (g),Ground Sample ID,MIDDLE SECTION Processing Issues/Notes,Bark Length (mm),Bark Fresh Mass (g),Bark Empty Tube Mass (g),Bark Mass + Tube (g),Post-Freeze Dry Sample Mass (g),SAMPLE FLAG
6/7/22,Jon,FRAM,WA102,Yes,,,,5,5.315,6.107,0.792,6/10/22,6/13/22,0.539,WA102 Outer,0.319444444,,5,5.341,6.316,0.975,6/10/22,6/13/22,0.619,WA102 Inner,0.365128205,,,5.273,5.551,0.278,6/10/22,6/13/22,0.184,WA102 Middle,,,,,,,
6/8/22,Jon,TSCA,H301,Yes,,,,5,5.317,6.157,0.84,6/10/22,6/13/22,0.388,H301 Outer,0.538095238,,5,5.309,6.251,0.942,6/10/22,6/13/22,0.361,H301 Inner,0.616772824,,44,5.348,6.163,0.815,6/10/22,6/13/22,0.304,H301 Middle,,,,,,,
6/8/22,Jon,TSCA,HX4,Yes,,,,5,5.376,6.119,0.743,6/10/22,6/13/22,0.39,HX4 Outer,0.475100942,,4.015,5.346,6.138,0.792,6/10/22,6/13/22,0.391,HX4 Inner,0.506313131,,0,0,0,0,6/10/22,6/13/22,,HX4 Middle,,,,,,,
6/8/22,Jon,TSCA,H2,Yes,,,Uncertain pith location,5,5.345,6.239,0.894,6/10/22,6/13/22,0.523,H2 Outer,0.414988814,,5,5.338,6.33,0.992,6/10/22,6/13/22,0.428,H2 Inner,0.568548387,,50,5.338,6.108,0.77,6/10/22,6/13/22,0.432,H2 Middle,,,,,,,
6/8/22,Jon,TSCA,HX3,Yes,,,,5,5.338,6.111,0.773,6/10/22,6/13/22,0.356,HX3 Outer,0.539456662,,5,5.366,6.227,0.861,6/10/22,6/13/22,0.362,HX3 Inner,0.579558653,,107.02,5.411,7.078,1.667,6/10/22,6/13/22,0.807,HX3 Middle,,,,,,,
6/8/22,Jon,TSCA,H103,No,,,,5,5.34,6.105,0.765,6/10/22,6/13/22,0.368,H103 Outer,0.518954248,,5,5.341,6.164,0.823,6/10/22,6/13/22,0.344,H103 Inner,0.582017011,,98.3,5.362,6.554,1.192,6/10/22,6/13/22,0.74,H103 Middle,,14.96,,5.371,5.601,0.157,
6/8/22,Jon,TSCA,H9,Yes,,,,5,5.359,6.211,0.852,6/10/22,6/13/22,0.395,H9 Outer,0.536384977,,5,5.392,6.447,1.055,6/10/22,6/13/22,0.401,H9 Inner,0.619905213,,57.15,5.393,6.527,1.134,6/10/22,6/13/22,0.417,H9 Middle,,,,,,,
6/9/22,Cade,TSCA, H102,Yes,,,middle piece accidentally combined with another piece. 2 possible pieces that may have been the actual core: middle?x1 and middle?x2. middle?x1: length-35.35mm/empty weight-5.3943g/filled weight-6.0878g. middle?x2:length-41.02mm/empty weight-5.3707/filled weight-6.0782,5,5.3611,6.1904,0.8293,6/10/22,6/13/22,0.363, H102 Outer,0.562281442,,5,5.377,6.2828,0.9058,6/10/22,6/13/22,0.345, H102 Inner,0.619121219,,see note,,,0,6/10/22,6/13/22,"x1: 0.259, x2: 0.308", H102 Middle,,,,,,,
6/9/22,Cade,TSCA,H104,Yes ,,,Inner Section 12.54+3.23+4.08,5,5.3384,6.2791,0.9407,6/10/22,6/13/22,0.403,H104 Outer,0.57159562,,5,5.3281,6.7483,1.4202,6/10/22,6/13/22,0.168,H104 Inner,0.881706802,,0,0,0,0,6/10/22,6/13/22,,H104 Middle,,,,,,,
6/9/22,Cade,TSCA,HX2,No,,,,5,5.4945,6.2507,0.7562,6/10/22,6/13/22,0.319,HX2 Outer,0.578153928,,5,5.4891,7.3733,1.8842,6/10/22,6/13/22,0.305,HX2 Inner,0.838127587,,43.14,5.3698,6.2503,0.8805,6/10/22,6/13/22,0.277,HX2 Middle,,,,,,,
